id,employee_id,amount,date
1,1,4985,2019-10-01
2,2,2341,2019-10-01
3,6,832,2019-10-01
4,1,4985,2019-11-01
5,2,2341,2019-11-01
6,3,3421,2019-11-01
7,4,8723,2019-11-01
8,5,2315,2019-11-01
9,6,832,2019-11-01
10,14,2314,2019-11-01
11,1,4985,2019-12-01
12,2,2341,2019-12-01
13,3,1235,2019-12-01
14,4,8723,2019-12-01
15,5,2315,2019-12-01
16,6,4125,2019-12-01
17,14,1235,2019-12-01
18,7,2341,2019-12-01
19,8,3345,2019-12-01
20,9,1256,2019-12-01
21,1,4985,2020-01-01
22,2,2341,2020-01-01
23,3,1235,2020-01-01
24,4,8723,2020-01-01
25,5,2315,2020-01-01
26,6,4125,2020-01-01
27,14,1235,2020-01-01
28,7,1256,2020-01-01
29,8,3345,2020-01-01
30,9,7323,2020-01-01
31,10,4234,2020-01-01
32,11,864,2020-01-01
33,12,3235,2020-01-01
34,13,4125,2020-01-01
35,1,4985,2020-02-01
36,2,2341,2020-02-01
37,3,1235,2020-02-01
38,4,8723,2020-02-01
39,5,2315,2020-02-01
40,6,4125,2020-02-01
41,14,1235,2020-02-01
42,7,1256,2020-02-01
43,8,3345,2020-02-01
44,9,7323,2020-02-01
45,10,4234,2020-02-01
46,11,864,2020-02-01
47,12,3235,2020-02-01
48,13,4125,2020-02-01
49,14,4537,2020-02-01
50,15,2341,2020-02-01
51,16,2345,2020-02-01
52,1,4985,2020-03-01
53,2,2341,2020-03-01
54,3,1235,2020-03-01
55,4,8723,2020-03-01
56,5,2315,2020-03-01
57,6,4125,2020-03-01
58,14,1235,2020-03-01
59,7,4674,2020-03-01
60,8,3345,2020-03-01
61,9,7323,2020-03-01
62,10,4234,2020-03-01
63,11,2356,2020-03-01
64,12,3235,2020-03-01
65,13,4125,2020-03-01
66,14,4537,2020-03-01
67,15,2341,2020-03-01
68,16,2345,2020-03-01
69,17,1245,2020-03-01
70,18,5234,2020-03-01
71,1,4985,2020-04-01
72,2,2341,2020-04-01
73,3,1235,2020-04-01
74,4,8723,2020-04-01
75,5,2315,2020-04-01
76,6,4125,2020-04-01
77,14,1235,2020-04-01
78,7,4674,2020-04-01
79,8,3345,2020-04-01
80,9,21344,2020-04-01
81,10,4234,2020-04-01
82,11,2356,2020-04-01
83,12,2345,2020-04-01
84,13,4125,2020-04-01
85,14,4537,2020-04-01
86,15,2341,2020-04-01
87,16,2345,2020-04-01
88,17,1245,2020-04-01
89,18,5234,2020-04-01
90,19,4622,2020-04-01
91,20,1243,2020-04-01